Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2025-09-22,461.0,464.3500061035156,446.54998779296875,449.54998779296875,449.54998779296875,12825424,SWIGGY
2025-09-23,450.70001220703125,451.6499938964844,445.20001220703125,449.20001220703125,449.20001220703125,7987236,SWIGGY
2025-09-24,458.20001220703125,460.8999938964844,436.0,438.45001220703125,438.45001220703125,19597212,SWIGGY
2025-09-25,439.95001220703125,440.79998779296875,425.0,426.1000061035156,426.1000061035156,8856362,SWIGGY
2025-09-26,425.0,427.8999938964844,418.0,420.6499938964844,420.6499938964844,11140200,SWIGGY
2025-09-29,423.54998779296875,423.6000061035156,413.20001220703125,416.5,416.5,19854203,SWIGGY
2025-09-30,419.25,426.5,416.54998779296875,422.95001220703125,422.95001220703125,13565339,SWIGGY
2025-10-01,423.29998779296875,423.29998779296875,414.25,417.75,417.75,7083494,SWIGGY
2025-10-03,420.0,421.25,412.54998779296875,413.8500061035156,413.8500061035156,7409123,SWIGGY
2025-10-06,413.8500061035156,424.70001220703125,408.1499938964844,421.54998779296875,421.54998779296875,8057127,SWIGGY
2025-10-07,422.0,422.6499938964844,414.45001220703125,420.75,420.75,8625939,SWIGGY
2025-10-08,420.0,423.45001220703125,416.5,420.8999938964844,420.8999938964844,4546535,SWIGGY
2025-10-09,422.79998779296875,437.79998779296875,421.04998779296875,436.8999938964844,436.8999938964844,11540849,SWIGGY
2025-10-10,436.1000061035156,439.0,428.70001220703125,435.54998779296875,435.54998779296875,7920712,SWIGGY
2025-10-13,435.0,437.6000061035156,431.29998779296875,434.79998779296875,434.79998779296875,7146572,SWIGGY
2025-10-14,435.20001220703125,442.0,432.3500061035156,440.1499938964844,440.1499938964844,8288544,SWIGGY
2025-10-15,440.3999938964844,443.5,435.70001220703125,442.70001220703125,442.70001220703125,14283145,SWIGGY
2025-10-16,444.45001220703125,459.95001220703125,442.75,448.3999938964844,448.3999938964844,24563868,SWIGGY
2025-10-17,447.0,447.0,424.95001220703125,432.1499938964844,432.1499938964844,18430213,SWIGGY
2025-10-20,435.0,435.8999938964844,416.1000061035156,421.8999938964844,421.8999938964844,13304432,SWIGGY
2025-10-21,427.0,433.8999938964844,424.0,432.1000061035156,432.1000061035156,2266400,SWIGGY
2025-10-23,432.1000061035156,433.04998779296875,423.0,424.29998779296875,424.29998779296875,7858545,SWIGGY
2025-10-24,426.0,430.20001220703125,423.0,424.8999938964844,424.8999938964844,4343894,SWIGGY
2025-10-27,425.95001220703125,427.3500061035156,420.29998779296875,425.6499938964844,425.6499938964844,3890805,SWIGGY
2025-10-28,427.70001220703125,429.0,419.1499938964844,422.1000061035156,422.1000061035156,4360893,SWIGGY
2025-10-29,423.25,426.6000061035156,417.6499938964844,418.95001220703125,418.95001220703125,3267281,SWIGGY
2025-10-30,419.95001220703125,422.5,413.5,417.95001220703125,417.95001220703125,4122844,SWIGGY
2025-10-31,430.0,434.0,407.1000061035156,409.95001220703125,409.95001220703125,19552018,SWIGGY
2025-11-03,409.79998779296875,409.79998779296875,401.3999938964844,402.45001220703125,402.45001220703125,4897191,SWIGGY
2025-11-04,405.0,415.45001220703125,402.29998779296875,413.3500061035156,413.3500061035156,9477215,SWIGGY
2025-11-06,412.6499938964844,413.0,402.6000061035156,403.95001220703125,403.95001220703125,5526680,SWIGGY
2025-11-07,399.95001220703125,408.79998779296875,395.6499938964844,401.3999938964844,401.3999938964844,5018639,SWIGGY
2025-11-10,404.0,411.3999938964844,380.0,386.95001220703125,386.95001220703125,11133596,SWIGGY
2025-11-11,387.8999938964844,396.1000061035156,377.0,394.25,394.25,10574487,SWIGGY
2025-11-12,395.75,398.0,390.79998779296875,395.75,395.75,3236998,SWIGGY
2025-11-13,397.0,397.8999938964844,382.20001220703125,383.1000061035156,383.1000061035156,6102890,SWIGGY
2025-11-14,380.0,395.0,379.6000061035156,393.1000061035156,393.1000061035156,7601634,SWIGGY
2025-11-17,395.0,397.20001220703125,384.29998779296875,394.79998779296875,394.79998779296875,6430519,SWIGGY
2025-11-18,396.0,401.79998779296875,392.54998779296875,393.3500061035156,393.3500061035156,3571077,SWIGGY
2025-11-19,394.20001220703125,398.79998779296875,393.5,397.0,397.0,2144091,SWIGGY
2025-11-20,397.0,402.8999938964844,393.70001220703125,395.5,395.5,3578421,SWIGGY
2025-11-21,395.5,396.45001220703125,383.8500061035156,385.45001220703125,385.45001220703125,3384015,SWIGGY
2025-11-24,380.29998779296875,410.70001220703125,378.0,404.6000061035156,404.6000061035156,22449342,SWIGGY
2025-11-25,402.0,402.8999938964844,390.0,394.6000061035156,394.6000061035156,4669131,SWIGGY
2025-11-26,393.25,396.5,390.3999938964844,392.3999938964844,392.3999938964844,2723100,SWIGGY
2025-11-27,392.45001220703125,394.3999938964844,385.25,386.6499938964844,386.6499938964844,2317260,SWIGGY
2025-11-28,386.6499938964844,387.25,376.8999938964844,378.29998779296875,378.29998779296875,4711401,SWIGGY
2025-12-01,380.0,391.75,378.5,388.6499938964844,388.6499938964844,5479785,SWIGGY
2025-12-02,389.1000061035156,402.5,388.0,399.3999938964844,399.3999938964844,7626093,SWIGGY
2025-12-03,395.70001220703125,405.5,395.04998779296875,403.25,403.25,6943055,SWIGGY
